Branch,Month,Total_Sales,Discount_Amount,Net_Sales,Orders
Al-azzam mall,2024-01-01,46602.90231,1667.30443,39074.43069,1952
Al-azzam mall,2024-02-01,45632.945,1559.6954,38324.56363,2057
Al-azzam mall,2024-03-01,44391.91191,793.91299,37911.30081,1931
Al-azzam mall,2024-04-01,36636.91228,1093.91291,30910.86684,1645
Al-azzam mall,2024-05-01,45325.12889,1439.13019,38233.60449,1827
Al-azzam mall,2024-06-01,51815.04199,733.04336,44432.4302,2079
Al-azzam mall,2024-07-01,50495.95518,826.95644,43202.16942,1923
Al-azzam mall,2024-08-01,41524.43389,630.43472,35559.99656,1722
Al-azzam mall,2024-09-01,56647.85974,1018.26082,48373.56052,2409
Al-azzam mall,2024-10-01,54823.2791,1778.12988,46126.21343,2277
Al-azzam mall,2024-11-01,55354.67263,1442.17359,46880.43038,2173
Al-azzam mall,2024-12-01,51157.38291,1457.44331,43217.33518,2036
Al-azzam mall,2025-01-01,48522.56506,1189.56543,41159.12686,1959
Al-azzam mall,2025-02-01,44640.52153,1216.52186,37759.99765,1879
Al-azzam mall,2025-03-01,57053.21641,1165.21737,48598.25647,2296
Al-azzam mall,2025-04-01,27984.94529,813.69564,23627.17195,1214
Al-azzam mall,2025-05-01,49822.69431,968.69552,42481.73503,2051
Al-azzam mall,2025-06-01,37710.17324,432.17388,32415.64938,1559
Al-azzam mall,2025-07-01,46239.99025,733.39132,39573.56318,1744
Al-azzam mall,2025-08-01,53490.83612,1241.08689,45447.60661,1905
al-hussien,2024-01-01,55864.11181,1565.91289,47215.82113,3565
al-hussien,2024-02-01,61876.40919,2162.60855,51925.04362,3876
al-hussien,2024-03-01,63335.86949,2440.86953,52952.17229,4069
al-hussien,2024-04-01,111935.04,3293.0431,94479.1231,5673
al-hussien,2024-05-01,123621.8218,3867.82547,104154.6433,6931
al-hussien,2024-06-01,153972.9505,4386.95594,130092.3797,8138
al-hussien,2024-07-01,167258.3842,6577.39042,139732.3786,8702
al-hussien,2024-08-01,162910.688,4268.69505,137949.5521,8567
al-hussien,2024-09-01,128554.3005,3567.30402,108684.3403,7421
al-hussien,2024-10-01,133321.1194,5479.17247,111166.9057,7306
al-hussien,2024-11-01,131515.1655,3658.86905,111179.383,7247
al-hussien,2024-12-01,130558.9366,5293.73874,108926.2542,7451
al-hussien,2025-01-01,131640.7809,4714.78286,110370.429,7500
al-hussien,2025-02-01,147979.6055,5262.60847,124101.7302,7620
al-hussien,2025-03-01,159151.5621,4369.56496,134593.0341,7966
al-hussien,2025-04-01,196977.7993,5281.30365,166692.5966,9610
al-hussien,2025-05-01,201986.8432,5394.34738,170949.9844,9497
al-hussien,2025-06-01,210155.2135,5305.21717,178130.4196,9201
al-hussien,2025-07-01,214719.5159,4749.86916,182600.5542,9507
al-hussien,2025-08-01,223895.5797,6602.7818,188965.9044,9656
AirPort,2024-01-01,73610.86057,2200.9129,62095.60243,4119
AirPort,2024-02-01,79684.54274,2907.04307,66763.04111,4468
AirPort,2024-03-01,55026.21052,1565.26082,46487.7797,3118
AirPort,2024-04-01,82466.60755,2982.60829,69120.42993,4358
AirPort,2024-05-01,108778.3876,4837.39051,90388.94786,5824
AirPort,2024-06-01,115458.8647,3720.86902,97173.25142,5644
AirPort,2024-07-01,143959.21,4485.21686,121287.5957,6527
AirPort,2024-08-01,178843.5124,4156.52113,151901.7214,8101
AirPort,2024-09-01,150403.7161,4876.52141,126545.3786,7434
AirPort,2024-10-01,168478.0817,6126.08526,141175.6399,8554
AirPort,2024-11-01,148881.2388,4345.04276,125683.6408,7230
AirPort,2024-12-01,142617.1103,6105.91238,118705.3816,7283
AirPort,2025-01-01,144228.2374,4451.7392,121544.7728,7098
AirPort,2025-02-01,154988.7146,6395.21687,129211.7289,7509
AirPort,2025-03-01,113716.8668,3460.86931,95874.77305,5364
AirPort,2025-04-01,183143.5728,4662.82556,155200.6366,8666
AirPort,2025-05-01,197067.6054,5082.60816,166943.4604,9021
AirPort,2025-06-01,172178.1053,4852.60818,145500.422,7916
AirPort,2025-07-01,180427.2501,5191.65175,152430.9482,8230
AirPort,2025-08-01,200222.9842,5750.08637,169175.1235,8789
Rose,2024-01-01,43432.27004,1911.52156,36104.99634,2824
Rose,2024-02-01,46437.02367,2591.84325,38126.24472,3037
